player_id,league_id,team_id,gp,gs,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
201953,00,0,23,0,296,35,97,0.360824,10,31,0.32258,24,30,0.8,6,25,31,46,10,1,21,21,104
201954,00,0,40,16,930,139,319,0.435736,21,63,0.333333,81,97,0.835051,22,65,87,133,34,3,51,53,380
201957,00,0,1,0,4,0,2,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,1
201958,00,0,6,0,43,9,21,0.428571,2,7,0.285714,1,3,0.333333,2,5,7,6,0,0,4,6,21
201959,00,0,71,20,1581,224,432,0.518518,0,3,0,105,148,0.709459,137,209,346,43,30,72,62,176,553
201960,00,0,64,52,1753,205,481,0.426195,79,224,0.352678,79,105,0.75238,78,199,277,71,55,21,52,150,568
201961,00,0,11,4,246,25,76,0.328947,21,58,0.362068,7,7,1,4,21,25,10,5,2,7,14,78
201962,00,0,15,3,150,19,51,0.372549,10,24,0.416666,7,8,0.875,3,14,17,15,2,0,5,15,55
201963,00,0,3,0,9,2,3,0.666666,0,0,0,0,1,0,1,1,2,1,1,1,1,3,4
201964,00,0,2,0,7,0,0,0,0,0,0,0,4,0,0,5,5,0,0,0,1,0,0
201965,00,0,38,0,176,18,46,0.391304,0,1,0,9,13,0.692307,12,32,44,8,2,5,5,23,45
201967,00,0,21,0,179,24,40,0.6,2,3,0.666666,8,9,0.888888,17,31,48,2,9,6,4,20,58
201970,00,0,30,11,390,52,122,0.426229,5,23,0.217391,15,23,0.652173,18,41,59,6,10,4,15,35,124
201971,00,0,42,0,375,77,141,0.546099,0,0,0,24,42,0.571428,55,81,136,17,25,7,11,62,178
201973,00,0,48,4,558,62,153,0.405228,18,66,0.272727,20,23,0.869565,37,97,134,38,13,10,17,55,162
201974,00,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
201975,00,0,34,6,315,33,91,0.362637,13,46,0.282608,23,25,0.92,5,20,25,9,11,2,11,26,102
201976,00,0,51,43,1331,152,374,0.406417,63,176,0.357954,46,57,0.807017,68,167,235,128,46,26,51,166,413
